version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 372487155407 eni-0a85d33e8715c75be 161.35.126.137 172.31.32.166 51862 22 6 14 1915 1599561080 1599561131 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 85.93.20.250 172.31.32.166 58812 2100 6 1 40 1599561080 1599561131 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 161.35.126.137 22 53720 6 12 2705 1599561080 1599561131 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 161.35.126.137 172.31.32.166 33118 22 6 14 1915 1599561135 1599561191 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 161.35.126.137 22 33118 6 12 2705 1599561135 1599561191 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 122.114.70.12 22 42058 6 12 2137 1599561135 1599561191 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 185.176.27.30 172.31.32.166 59745 39696 6 1 40 1599561135 1599561191 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 194.26.25.106 172.31.32.166 47625 4032 6 1 40 1599561135 1599561191 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 185.143.223.254 172.31.32.166 52881 445 6 1 40 1599561135 1599561191 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 161.35.126.137 22 36910 6 12 2705 1599561135 1599561191 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 161.35.126.137 22 59444 6 12 2705 1599561135 1599561191 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 161.35.126.137 172.31.32.166 36910 22 6 14 1915 1599561135 1599561191 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 122.114.70.12 172.31.32.166 42058 22 6 14 1449 1599561135 1599561191 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 161.35.126.137 172.31.32.166 59444 22 6 13 1863 1599561135 1599561191 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 161.35.126.137 22 35014 6 12 2705 1599561135 1599561191 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 161.35.126.137 172.31.32.166 35014 22 6 14 1931 1599561135 1599561191 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 161.35.126.137 172.31.32.166 57534 22 6 14 1931 1599561135 1599561191 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 161.35.126.137 22 57534 6 12 2705 1599561135 1599561191 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 161.35.126.137 172.31.32.166 38808 22 6 14 1915 1599561135 1599561251 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 190.242.60.208 172.31.32.166 56587 445 6 3 152 1599561135 1599561251 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 161.35.126.137 22 38808 6 12 2705 1599561135 1599561251 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 161.35.126.137 172.31.32.166 48292 22 6 14 1915 1599561192 1599561251 ACCEPT OK
